video_titles,video_url,source
ESTO ACABA DE PASAR! TRIBUNAL REGRESA CANDIDATURA Y AMARRA A LORENZO! NO LO ESPERABAN. MEXICO,https://www.youtube.com/watch?v=jTzJuZbTRPw,el chapucero today
ESTO ACABA DE PASAR! OBRADOR Y LA 4T SACAN LA APLANADORA! SE ACABÓ LA PACIENCIA. GRAN NOTICIA MEXICO,https://www.youtube.com/watch?v=_OwSTB6H-_g,el chapucero today
ESTO ACABA DE PASAR! LORENZO SE DESQUITA! INICIA NUEVO PROCESO CONTRA AMLO. NO LO ESPERABA. MEXICO,https://www.youtube.com/watch?v=WfCHqB6xXGU,el chapucero today
"ESTO ACABA DE PASAR! LORENZO SE PONE RUDO, AMLO Y LA 4T SE JUEGAN TODO. NO LO ESPERABAN. MEXICO",https://www.youtube.com/watch?v=P5fkdx0aLHo,el chapucero today
ESTO ACABA DE PASAR! HUNDEN A SAMUEL CON VIDEO ESCANDALO! SANTIAGO ENCIMA. NO LO ESPERABA. MEXICO,https://www.youtube.com/watch?v=57iReTEuj2k,el chapucero today
ESTO ACABA DE PASAR! APRUEBAN REFORMA CONTRA JUECES VENDIDOS! AMLO IMPARABLE. GRAN NOTICIA MEXICO,https://www.youtube.com/watch?v=-mQX0oz0MT0,el chapucero today
ESTO ACABA DE PASAR! CONSEJERA INE REVELA LA TRANSA DE LORENZO! NO LO ESPERABAN. DIJO TODO. MEXICO,https://www.youtube.com/watch?v=qwHjnSDa8P8,el chapucero today
ESTO ACABA DE PASAR! SILVANO PERDIÓ LA CABEZA! SE VA CONTRA CIUDADANO. ESTO LE HIZO. NOTICIA MEXICO,https://www.youtube.com/watch?v=IjL56yRyt90,el chapucero today
ESTO ACABA DE PASAR! NOROÑA PRENDE LAS ALERTAS! QUIEREN ENCERRAR A FELIX. NO LO VIERON VENIR. MEXICO,https://www.youtube.com/watch?v=z7OaNST3kbY,el chapucero today
ESTO ACABA DE PASAR! SANTIAGO VA POR SAMUEL GARCIA! DESCUBRIO EL SECRETO. SE ACABÓ. NOTICIA MEXICO,https://www.youtube.com/watch?v=Q_BbgfpHRAI,el chapucero today
ESTO ACABA DE PASAR! SANTIAGO LE CAE ENCIMA A CUATES DE CALDERÓN! DETIENEN A UNO. MEXICO NOTICIA,https://www.youtube.com/watch?v=kqC_xRdNzRk,el chapucero today
ESTO ACABA DE PASAR! LE CAEN A SALINAS DESDE EEUU. INVESTIGACIÓN REVELA CARTEL AZTECO MEXICO NOTICIA,https://www.youtube.com/watch?v=XT12MaQO8nk,el chapucero today
ESTO ACABA DE PASAR! DETIENEN A CANDIDATO DE MC! SAMUEL SUDA FRIO. NO LO VIO VENIR. MEXICO NOTICIA,https://www.youtube.com/watch?v=6pa1mV3mtnU,el chapucero today
